Notes,Year,Year Code,Month,Month Code,State,State Code,Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval,% of Total Deaths
,1999,1999,"Apr., 1999",1999/04,Virginia,51,325,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Washington,53,377,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,West Virginia,54,111,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Wisconsin,55,251,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"Apr., 1999",1999/04,Wyoming,56,15,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,Alabama,1,227,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,Alaska,2,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suppressed
,1999,1999,"May, 1999",1999/05,Arizona,4,296,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,Arkansas,5,91,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,California,6,1377,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.10%
,1999,1999,"May, 1999",1999/05,Colorado,8,194,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,Connecticut,9,208,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,Delaware,10,50,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
,1999,1999,"May, 1999",1999/05,District of Columbia,11,17,Not Applicable,Not Applicable,Not Applicable,Not Applicable,0.00%
